#{"t_start": 1776737486.7722251, "env_id": "Hopper-v5"}
r,l,t
209.43993,96,7.682989
211.304466,93,7.700515
67.641825,41,7.70806
165.127008,79,8.091084
140.899091,73,8.106808
71.289575,45,8.115501
230.019637,106,8.136051
88.864798,59,8.148129
116.479387,63,8.160403
86.830143,51,8.169902
115.980926,64,8.18251
190.355325,88,8.199017
129.129977,67,8.211504
88.275561,53,8.221406
218.801429,96,8.239293
129.865008,68,8.254567
196.053173,97,8.313557
202.365218,92,8.331485
143.10083,71,8.345589
114.753955,65,8.358419
132.51705,68,8.37158
96.666338,55,8.381955
209.992131,94,8.399638
219.115124,102,8.418901
100.577097,60,8.430417
184.559093,85,8.447059
196.454789,88,8.463684
216.100898,97,8.482193
128.641197,67,8.494451
172.70851,83,8.510504
204.570753,103,8.906278
213.384642,102,8.926989
233.316819,107,8.948855
180.963833,83,8.965207
161.299334,81,8.981847
235.26212,110,9.003122
234.796151,111,9.024067
223.81711,102,9.043958
236.122268,104,9.063669
211.141618,92,9.081671
225.475525,101,9.100428
215.398555,96,9.118908
78.961699,51,9.128906
98.181626,56,9.139226
205.068746,99,9.157166
225.973471,112,9.177485
216.067866,95,9.195332
204.51082,100,9.216029
170.37524,88,9.233656
166.669764,80,9.250388
112.133975,61,9.26293
132.250387,70,9.276482
231.312784,103,9.715967
227.709555,111,9.738437
222.86757,105,9.761105
209.411139,99,9.780816
108.605554,62,9.793956
91.26812,53,9.804431
206.622505,93,9.822764
213.706758,96,9.841438
211.098313,92,9.85925
203.172864,92,9.878034
220.417065,101,9.897159
141.355947,74,9.912101
222.240194,98,9.93073
165.826956,96,9.947851
191.430682,87,9.964706
216.666023,102,9.983364
213.110329,99,10.001348
225.971734,98,10.019882
244.037579,116,10.043001
222.875894,103,10.064119
219.407721,102,10.082849
224.570978,99,10.102242
218.34571,96,10.500885
190.824111,91,10.518196
88.974018,55,10.527924
224.917808,102,10.546379
225.665839,107,10.565798
218.246323,98,10.584285
199.693762,87,10.600914
235.236348,109,10.620859
209.000209,95,10.638879
229.071025,102,10.658029
224.655862,116,10.679366
212.238417,93,10.696905
228.449549,103,10.716834
180.041179,92,10.735555
223.962571,100,10.754688
213.946582,95,10.77405
220.142683,112,10.795046
211.879368,93,10.812623
207.40545,95,10.830276
160.423468,76,10.845002
238.271079,110,10.866594
231.290015,100,11.267405
60.282528,37,11.275657
237.68833,108,11.296323
73.388185,44,11.304566
223.451183,102,11.323794
91.404263,52,11.333904
199.216519,88,11.351254
215.404518,95,11.369971
221.661906,98,11.390301
204.187169,90,11.406493
224.112762,100,11.426112
224.22403,104,11.44682
211.295064,97,11.465709
203.334364,92,11.482229
252.050513,111,11.502801
194.252474,88,11.519706
202.982842,92,11.538229
212.083224,96,11.556283
221.301533,97,11.57404
239.081885,106,11.593978
230.853939,108,11.614272
187.007525,89,11.630393
213.100045,97,11.648642
234.092023,109,12.073615
245.29583,126,12.099523
230.466501,102,12.119564
237.875618,106,12.140632
213.407072,97,12.159081
232.990682,103,12.178555
216.776283,109,12.199295
229.130339,104,12.21994
222.819084,98,12.238913
241.147518,104,12.292119
248.000051,112,12.320455
231.609548,105,12.340266
209.62256,98,12.359878
233.901358,102,12.379566
204.108319,90,12.397366
216.551573,99,12.41727
215.558769,97,12.43694
251.445683,117,12.461445
127.036586,67,12.47512
161.435779,78,12.491139
237.119229,103,12.851957
309.913717,130,12.876035
